姓名,城市,科室,职称,主执业医院,出诊医院,专业特长,挂号费,出诊时间,信息来源网址
李珊珊,北京市,呼吸科,主治医师,,北京怡德医院,毕业于华北煤炭医学院，曾任解放军第306医院（原战略支援部队医学中心）呼吸科医生。 原航天城分部担任内科住院总一职，期间承担航天员及首长的巡诊及保健工作。 工作期间获得三等功一次，多次获得个人嘉奖、优秀代教等荣誉。 熟练掌握呼吸科常见病、多发病诊治：如急性呼吸道感染、支气管扩张、肺部感染、胸腔积液、哮喘、慢性阻塞性肺疾等诊治，尤其是慢性气道疾病的诊断、治疗以及慢性病管理；睡眠呼吸暂停综合征的诊断治理。,¥700,周一、周二、周三、周四、周五、周六、周日 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1629267461743906
郭玉婷,北京市,小儿内科全科,副主任医师,,北京怡德医院,儿科副主任医师，原解放军总医院第五医学中心儿科副主任医师。 从事儿科工作10余年，擅长儿科常见病和多发病的诊治，熟练掌握高热惊厥、肺炎心衰、儿童中毒等急救流程及用药。同时承担产科新生儿复苏任务，多次参与新生儿出生复苏及转运，熟练掌握新生儿复苏、气管插管、腰椎穿刺、亚低温治疗等技术及有创、无创呼吸机治疗指征及参数调节。,¥700,上午 08:00-12:00，下午 13:00-17:00,https://m.doctorpanda.com/doctor/1763455848876762
蒋蕾,北京市,内分泌科,主任医师,,北京怡德医院,原北京医院内分泌科主任医师，兼任中国老年医学会内分泌代谢学会委员，中国女医师协会医体专委会常委，北京精准医学学会常委。 擅长内分泌及慢性代谢性常见及疑难疾病、各型肥胖的临床诊治。针对骨质疏松的早期诊断与预防、原发骨质疏松及各类继发骨质疏松引起的各种不适均有丰富的临床治疗经验。,¥700,周一、周二、周三、周四、周五、周日 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1560235950668655
刘燕燕,北京市,小儿内科全科,主治医师,,北京怡德医院,北京怡德医院特聘儿科医生，首都儿科研究所附属儿童医院儿科医生，师从首都儿科研究所附属儿童医院小儿呼吸专业赵京教授及北京大学第一医院小儿神经科包新华教授。 儿童过敏性疾病、过敏性鼻炎、过敏性咳嗽、过敏性哮喘的诊治;儿童常见呼吸消化系统疾病的诊治;传染病的预防管理与诊治。,¥700,上午 08:00-12:00，下午 13:00-17:00,https://m.doctorpanda.com/doctor/1641884830408773
霍苗,北京市,呼吸科,主治医师,,北京怡德医院,毕业于首都医科大学临床医学系。 2016年在朝阳医院RICU进修。 从事呼吸内科工作17余年，曾任战略支援部队特色医学中心、应急总医院呼吸内科主治医师。 1.熟练掌握呼吸内科专业知识和诊疗规范，能够成功组织参加危重病⼈人抢救；  2.可独立完成气管镜、经皮肺穿刺刺活检、气管插管、深静脉穿刺刺、胸腔闭式引 流术、呼吸机调试等专科操作。,¥700,周一、周三、周四、周五 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1646017761432875
黄燕,北京市,小儿呼吸/哮喘/过敏科,主任医师,,北京怡德医院,毕业于中国医科大学儿科系儿科专业。 从事儿科临床、教学、科研工作三十余年。 中华医学会变态反应分会儿科学组委员、中国医师协会儿童呼吸内镜委员会副主任委员、儿童过敏委员会委员、 睡眠医学委员会委员、国家卫健委儿童呼吸内镜专家组委员。 承担国家、省自然科学基金多项，发表学术论文近百篇。 擅长哮喘、毛细支气管炎、慢咳、反复呼吸道感染、重症肺炎、睡眠障碍等疾病的诊疗。,¥900,周四 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1569554339042443
王芳,北京市,皮肤科,主治医师,,北京怡德医院,2004年毕业于解放军第二军医大学临床医学专业 2004年至2018年任武警北京市总队（第二）医院皮肤科主治医师 2021年6月10月任Dr.Z康敏皮肤过敏门诊的主治医师,¥700,周三、周五、周六 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1639452669921398
孙茜,北京市,消化科,主任医师,,北京怡德医院,消化科主任医师，原北京德尔康尼骨科医院消化内科主任、胃肠镜中心主任。 从事消化内科门诊、病房、内镜工作24年余，擅长消化疾病的诊治，胃肠镜检查及镜下治疗，息肉切除，放大内镜操作、早癌的诊断及治疗。,¥700,周一、周二、周三、周四、周五、周六 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1762248884927122
曾庆威,北京市,耳鼻喉头颈外科,主治医师,,北京怡德医院,曾就职于北京同仁医院、解放军总医院第八医学中心 从事耳鼻咽喉-头颈外科医师工作7年。,¥500-700,周一、周三、周四、周日 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1563854682417830
杨歌,北京市,眼科,主治医师,,北京怡德医院,中国中医科学院眼科医院眼科医生，原首都医科大学附属北京同仁医院眼科医生。 擅长眼科屈光不正、干眼症、眼表疾病、青少年近视防控及小儿眼病等眼部常见病的诊断及治疗，精通眼整形相关疾病的诊疗。能熟练完成眼科常规手术及整形类手术。,¥700,上午 08:00-12:00，下午 13:00-17:00,https://m.doctorpanda.com/doctor/1662432735034910
马宏霞,北京市,妇科,副主任医师,,北京怡德医院,原北京市丰台区中西医结合医院妇产科医生；中国妇幼保健协会青年工作委员会委员；华人泌乳顾问协会成员；持有国际认证泌乳顾问证书（L-133086） 从事妇产科工作20余年，擅长妇科常见疾病、多发病的诊疗以及各类计划生育手术。,¥300,上午 08:00-12:00，下午 13:00-17:00,https://m.doctorpanda.com/doctor/1595573701335866
孟宪杰,北京市,口腔科,主治医师,,北京怡德医院,口腔科医生，原首都医科大学宣武医院口腔科医生。 长期专注正畸领域，临床经验丰富，成功完成矫治病例数百余例。专注各种儿童早期矫治及青少年、成人的综合矫治，能够熟练运用主流矫治技术（固定矫治器、功能矫治器、隐形矫治器），制定个性化的正畸治疗方案；具备熟练的综合口腔诊疗能力，能够根据患者具体情况进行相应的治疗，包括活动义齿及固定冠桥修复、牙体牙髓治疗、牙周基础治疗、口腔黏膜病治疗、复杂牙拔除等。,¥300,上午 08:00-12:00，下午 13:00-17:00,https://m.doctorpanda.com/doctor/1751939296214502
魏玉杰,北京市,心内科,主任医师,,北京怡德医院,2012年6月毕业于解放军总医院心血管内科，获博士学位；曾任武警总医院心内科副主任医师，北京美尔目定慧医院医疗部主任及内科主任，北京电力医院心内科主任医师；现任北京医师协会知名专家，北京医师协会胸痛专科医师分会总干事，中国康复医学会心血管病专业委员会委员。 从事心血管专业20余年，具有丰富的临床工作经验，擅长心血管常见病、多发病以及急危重症的救治，尤其在高血压、冠心病、心力衰竭、血脂异常、支架术后治疗指导及辅助戒烟等方面有丰富的临床经验及独到的见解。,¥700,周一、周二、周三、周四、周五、周六 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1665470111566563
姚慧,北京市,小儿呼吸/哮喘/过敏科,主任医师,,北京怡德医院,三甲医院从事呼吸哮喘专业近40年。 对小儿内科常见病多发病，如肺炎、哮喘、慢性咳嗽、过敏性疾病及小儿腹泻等消化系统疾病的诊断与治疗有丰富的临床经验，特别对呼吸系统疾病有深入研究，对重症肺炎、间质性肺炎有独到的治疗经验；在规范化治疗哮喘、慢性咳嗽及脱敏治疗等方面经验丰富。,¥900,周六 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1530154778989880
曾小芳,北京市,心内科,主治医师,,北京怡德医院,2013年毕业于中南大学老年医学专业，硕士学位，曾任北京华信医院心内科主治医师，从事心血管内科工作10年余。 熟练掌握内科全科各系统常见疾病的诊疗，善于对人体的全身状况进行综合分析，平衡施治。擅长心血管常见疾病及疑难疾病的临床诊治，尤其擅长针对心衰、冠心病、高血压、心律失常的诊断与治疗，积累了丰富的临床治疗经验。,¥500,周一、周日 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1632453825899996
王肇敏,北京市,耳鼻喉头颈外科,主治医师,,北京怡德医院,010年毕业于北京大学，耳鼻咽喉科硕士， 曾于北京积水潭医院、北京国际紧急救援中心、百汇京顺医院等医院就职。 熟练掌握常见耳鼻咽喉科疾病的诊疗、康复治疗和手术治疗。如分泌性中耳炎，常见类型中耳炎的病灶清除及听力重建；面神经疾病的诊断和康复手法治疗；鼻内镜下对鼻、鼻窦、鼻咽部疾病的诊断和手术治疗；扁桃体和腺样体疾患的诊断与手术治疗；眩晕症、耳石症的康复手法治疗；过敏性鼻炎减敏手法和肌贴治疗；咽异物感、胃食道逆流康复手法；肌筋膜疾相关疾患的整体治疗等。,¥500-700,周一、周二、周五、周六 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1685339665281926
张红玉,北京市,妇科,副主任医师,,北京怡德医院,原北京市西城区妇幼保健院妇产科医生。曾北京妇产医院进修微创手术。 从事妇产科临床工作近二十年，熟练掌握妇产科常见病及多发病的诊治，包括妇科炎症、生殖内分泌、不孕不育、宫颈病变、子宫异常出血、孕期保健、高危妊娠管理等。熟练掌握妇产科各种常见手术。,¥300,上午 08:00-12:00，下午 13:00-17:00,https://m.doctorpanda.com/doctor/1581493580958828
蒲纯,北京市,内科全科,主任医师,,北京怡德医院,2002年1月毕业于北京大学呼吸病学专业，获硕士学位。曾任北京医院呼吸内科副主任医师，北京怡德医院综合门诊主任医师及私人医生，平安互联网医院金牌私家医生。现任北京肿瘤学会肺癌专业委员会委员。 从事呼吸病学及高干保健工作多年，工作严谨踏实，临床经验丰富，擅长慢性阻塞性肺疾病、支气管哮喘、肺癌、睡眠呼吸暂停综合征等呼吸系统常见病、多发病的诊治。同时，在老年感染性疾病、结节病等方面进行了较为深入的研究。,¥500,周一、周二、周三、周四、周五、周六、周日 (上午 08:00-10:30),https://m.doctorpanda.com/doctor/1560236162417830
朱伟,北京市,眼科,副主任医师,,北京怡德医院,眼科主任，首都医科大学附属北京同仁医院眼科学博士，兼任北京医学奖励基金会专家委员会委员，北京市残疾评定委员会视力残疾评定专家，中国中西医结合学会北京分会会员。 从事眼科临床工作二十余年，具备扎实的眼科全科临床诊疗经验，对于眼睑疾病、角结膜病、葡萄膜病、白内障、青光眼、玻璃体疾病等有丰富的诊疗经验；IAOA国际角膜塑形学会亚洲分会会员，对于小儿常规眼病，小儿视光常见问题，近视的防控，角膜塑形镜的验配等均有一定的经验；对准分子激光及飞秒激光矫正近视、散光及远视以及ICL晶体植入手术有大量的经验，手术量已逾万例。,¥700,上午 08:00-12:00，下午 13:00-18:00,https://m.doctorpanda.com/doctor/1746598499043263
王燕,北京市,小儿内科全科,主治医师,,北京怡德医院,原山西晋中市第一人民医院儿科副主任，原中关村第三小学科技园分校校医。                                                                                                                                           社会任职：晋中市医学会儿科专业委员会委员；陕西省医学会变态反应专业委员会委员。 擅长儿科常见病的诊疗，常见儿童呼吸道疾病，如支气管肺炎、支原体肺炎及气管哮喘、上呼吸道感染病毒性肺炎等，及儿童营养性疾病，如贫血、缺钙、喂养不当、生长发育迟缓等疾病。,¥700,上午 08:00-12:00，下午 13:00-17:00,https://m.doctorpanda.com/doctor/1699435868137954
林杰,北京市,胸外科,主治医师,,北京怡德医院,"原武警北京市总队第二医院心胸外科主治医师，2003年荣获抗击非典三等功，曾获“十佳医务工作者”。多年从事心胸外科临床工作，能够熟练常见心胸外科疾病的临床表现和诊治原则，掌握手术治疗的适应症、操作技术、并发症、预后评价, 能够熟练地配合上级医师完成常规心外科手术和术后重症监护工作。",¥700,周一 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1612664646232355
郑国东,北京市,泌尿外科,主治医师,,北京怡德医院,"原北京市仁和医院泌尿外科主治医师。从事外科工作10余年，先后轮转于普外、泌尿、胸外及疼痛科等多个科室,后主要从事于泌尿及男科工作,能熟练掌握泌尿外科常见病及多发病的诊疗。",¥700,周一、周二、周三、周四 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1581495746714403
孙强,北京市,医疗美容科,副主任医师,,北京怡德医院,原北京同仁医院整形外科副主任。 中西医结合医学美容专业委员会眼整形分会常务委员。 中国整形美容协会医学美容专业委员会常务委员。,¥300,周一、周二、周五、周六 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1560239081179706
于炎冰,北京市,神经外科,主任医师,,北京怡德医院,神经外科特聘专家，中日友好医院神经外科主任、脑瘫治疗中心主任，三叉神经痛和面肌痉挛微创治疗中心主任  主任医师。 擅长面肌痉挛、三叉神经痛、听神经瘤、小儿脑瘫、肌张力障碍、脊柱裂、小儿脊柱裂、痉挛性颈斜、脊柱脊髓疾病、脊髓栓系症、梅杰士综合征等疾病的诊断及治疗。,¥1000,上午 08:00-12:00，下午 13:00-17:00,https://m.doctorpanda.com/doctor/1720761950633779
刘黎,北京市,呼吸科,主治医师,,北京怡德医院,毕业于重庆第三军医大学临床医学系 从事呼吸内科工作9余年，曾任战略支援部队特色医学中心、应急总医院呼吸内科主治医师。,¥700,周一、周二、周三、周四、周五 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1646017426838416
孙明晓,北京市,体重管理门诊,主任医师,,北京怡德医院,原北京医院内分泌科副主任，营养科主任，兼任中国女医师协会医学体育专委会主任委员，中国营养学会肥胖防控分会副主任委员，中国老年医学学会内分泌代谢分会常务委员。 从事内分泌代谢临床工作30余年，具有丰富的临床经验，特别擅长针对肥胖、糖尿病、血脂异常、高尿酸血症/痛风、甲状腺疾病、老年骨质疏松和少肌症等内分泌代谢疾病进行营养、运动和药物的综合治疗。,¥1000,周一、周四 (上午 09:00-12:00，下午 14:00-18:00),https://m.doctorpanda.com/doctor/1560236745350123
蒋蕾,北京市,体重管理门诊,主任医师,,北京怡德医院,原北京医院内分泌科主任医师，兼任中国老年医学会内分泌代谢学会委员，中国女医师协会医体专委会常委，北京精准医学学会常委。 擅长内分泌及慢性代谢性常见及疑难疾病、各型肥胖的临床诊治。针对骨质疏松的早期诊断与预防、原发骨质疏松及各类继发骨质疏松引起的各种不适均有丰富的临床治疗经验。,¥700,周一、周二、周三、周四、周五、周日 (上午 09:00-12:00，下午 13:00-18:00),https://m.doctorpanda.com/doctor/1560235950668655
李乔俊,北京市,儿童生长发育门诊,副主任医师,,北京怡德医院,儿科主任，原首都医科大学附属北京朝阳医院儿科副主任医师，兼任中国妇幼健康研究会儿科能力建设专委会委员；北京医师协会儿童重症专科医师分会成员；北京福棠医学研究院远程会诊专家组成员。 擅长儿童多系统急慢性疾病的临床诊断与治疗。尤其儿童呼吸慢病管理、矮小症。对于儿童慢性气道相关性疾病（慢性咳嗽、咳嗽变异性哮喘、支气管哮喘等）规范化治疗，强调缓解期治疗和康复管理，降低急性发作风险，改善运动功能，促进肺功能恢复。,¥500,周一、周五 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1727420708626626
廖海波,北京市,乳腺外科,副主任医师,,北京怡德医院,外科副主任医师，兼任中国研究型医院乳腺专业委员会委员；中国医疗保健国际交流促进会理事；北京中西医结合医院管理委员会委员。 擅长外科疾病治疗，师从北京协和医院乳腺外科主任孙强教授，对普外科疾病、尤其是乳腺癌和甲状腺癌的手术治疗及术后综合治疗有一定研究;对乳腺疾病的综合诊治有一定研究，手术技术成熟；熟练掌握乳腺癌术后化疗方案制定，内分泌治疗、靶向治疗及中西医结合康复方案；熟练开展腹股沟疝无张力修补、无痛痔疮手术、大隐静脉曲张微创手术等外科诊疗技术。,¥700,上午 08:00-12:00，下午 13:00-17:00,https://m.doctorpanda.com/doctor/1725928278326056
王阳,北京市,小儿心血管内科,主任医师 · 双语,,北京怡德医院,对小儿获得性心脏病具有深入的研究及临床医治经验，擅长川崎病、心律失常、心肌病、心肌心包炎、感染性心内膜炎、风心病等小儿心血管内科疾病的诊治。近15年间，成功医治川崎病患儿近两千余例，川崎病患儿随访万余例。对危重、复杂川崎病如：川崎休克综合征、川崎病合并冠脉瘤、合并血栓、合并重症心肌炎、合并耳聋等各类川崎病并发症具有深入专业研究和成功救治经验，对川崎病的远期随访具有非常丰富的经验。同时在医治心肌炎、心律失常方面见识显著。在北京儿童医院心血管中心工作期间曾参与并成功抢救暴发性心肌炎、严重室性及室上性心动过速、III度房室传导阻滞等危重患儿。 毕业于首都医科大学，获硕士学位。现任北京新世纪儿童医院住,¥900,周二、周三、周四 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1479261978897419
王玉景,北京市,乳腺外科,主治医师,,北京怡德医院,2000年毕业于张家口医学院临床医学专业本科， 曾于河北宁晋县二院、北京天宜乳腺医院、北京武警总队医院等医院就职。 从事普外科临床工作20余年，擅长于乳腺常见疾病的诊治、乳腺癌的早期筛查，甲状腺常见疾病、下肢大隐静脉曲张的诊治。,¥500,周二、周五 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1560238363043893
廖海波,北京市,甲状腺外科,副主任医师,,北京怡德医院,外科副主任医师，兼任中国研究型医院乳腺专业委员会委员；中国医疗保健国际交流促进会理事；北京中西医结合医院管理委员会委员。 擅长外科疾病治疗，师从北京协和医院乳腺外科主任孙强教授，对普外科疾病、尤其是乳腺癌和甲状腺癌的手术治疗及术后综合治疗有一定研究;对乳腺疾病的综合诊治有一定研究，手术技术成熟；熟练掌握乳腺癌术后化疗方案制定，内分泌治疗、靶向治疗及中西医结合康复方案；熟练开展腹股沟疝无张力修补、无痛痔疮手术、大隐静脉曲张微创手术等外科诊疗技术。,¥700,上午 08:00-12:00，下午 13:00-18:00,https://m.doctorpanda.com/doctor/1725928278326056
艾雯,北京市,内科全科,副主任医师·双语,,北京怡德医院,毕业于南昌大学临床医学系， 曾于北京市海淀区西三旗社区卫生服务中心、北京市中日友好医院等医院就职。 曾荣获北京市海淀区卫生应急技能竞赛个人三等奖，北京市红十字会救护技能证。 对各科常见疾病的诊疗有丰富的临床经验，擅长针对各类慢性疾病，如高血压、糖尿病、冠心病、血脂异常等疾病的长期随访管理，能有针对性地给予专业的个体化诊疗随访方案。,¥500,上午 08:00-12:00，下午 13:00-17:00,https://m.doctorpanda.com/doctor/1646301383458078
廖海波,北京市,肛肠外科,副主任医师,,北京怡德医院,外科副主任医师，兼任中国研究型医院乳腺专业委员会委员；中国医疗保健国际交流促进会理事；北京中西医结合医院管理委员会委员。 擅长外科疾病治疗，师从北京协和医院乳腺外科主任孙强教授，对普外科疾病、尤其是乳腺癌和甲状腺癌的手术治疗及术后综合治疗有一定研究;对乳腺疾病的综合诊治有一定研究，手术技术成熟；熟练掌握乳腺癌术后化疗方案制定，内分泌治疗、靶向治疗及中西医结合康复方案；熟练开展腹股沟疝无张力修补、无痛痔疮手术、大隐静脉曲张微创手术等外科诊疗技术。,¥700,上午 08:00-12:00，下午 13:00-19:00,https://m.doctorpanda.com/doctor/1725928278326056
赵静,北京市,外科全科,主治医师,,北京怡德医院,外科医生，原王府中西医结合医院外科医生。 熟练掌握外科相关疾病的治疗，包括胃肠相关疾病、甲状腺、乳腺、肝胆疾病等，具有手术室工作经历，了解一般手术器械应用，熟悉腔镜手术基本操作流程，具有严格的无菌操作意识，可以作为助手配合主刀医生完成手术。,¥700,上午 08:00-12:00，下午 13:00-17:00,https://m.doctorpanda.com/doctor/1744087813609676
范竟一,北京市,小儿骨科,主任医师 · 双语,,北京怡德医院,首都医科大学临床儿科系，医学博士。2007年毕业于首都医科大学临床儿科系，北京儿童医院小儿骨科工作至今，并担负首都医科大学儿外科临床带教工作。 擅长脊柱侧弯，脊柱畸形，脊柱结核，脊柱肿瘤，腰椎滑脱，髋脱位，髋关节发育不良，胫腓骨假关节，马蹄足，肌性斜颈，脑瘫，下肢不等长，高肩胛，肢体骨肿瘤，膝内翻（O型腿），膝外翻（X型腿），手足多指/趾 等的治疗。,¥500,周二、周四、周六 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1560320330352624
张永兰,北京市,小儿心血管内科,主任医师,,北京怡德医院,北京怡德医院儿科特聘专家，首都医科大学附属北京儿童医院心脏内科主任医师。 致力于儿科心血管专业临床工作三十余年，擅长各种儿童心血管疾病诊治，对川崎病、各种类型早搏、窦房传导阻滞、房室传导阻滞、阵发性室上性心动过速、房性心动过速、室性心动过速等各种类型心律失常以及卵圆孔未闭、房间隔缺损、室间隔缺损等各种先天性心脏病有着丰富临床诊治经验。,¥900,周一 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1736480024609519
李昌庚,北京市,外科全科,主治医师,,北京怡德医院,外科医生，原武警北京市总队第二医院普外科医生 学业期间师从郭春良教授，对腹腔镜的基本技术较为熟练额掌握，并参与实施了多台腹腔镜的手术治疗，在腹腔镜治疗肝脏及胆囊疾病方面累积了一定的临床经验。后跟随北京大学人民医院乳腺中心曹迎明主任及北京大学肿瘤医院乳腺中心李金锋主任学习乳腺相关疾病的诊治，对于乳腺肿瘤的早期诊断，超声诊疗及手术处理等积累一定的临床经验；在北京京西肿瘤医院工作期间，对于甲状腺肿瘤的诊疗，尤其是早癌筛查等积累一定的临床经验。,¥700,周一、周二、周三、周日 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1713227025078524
谷奕,北京市,小儿内分泌,主任医师,,北京怡德医院,儿童内分泌遗传代谢内分泌疾病临床医学博士学位。 于首都医科大学附属北京儿童医院内分泌遗传代谢科工作多年。 擅长儿童生长发育、性早熟、甲状腺疾病、儿童青少年糖尿病等儿科内分泌疾病。,¥1200,周一、周六 (上午 08:00-12:00，下午 13:00-17:00，夜间 17:00-21:00),https://m.doctorpanda.com/doctor/1560319937294318
范宝峰,北京市,功能医学门诊,主治医师,,北京怡德医院,功能医学特色专科医生，持有FMCTP功能医学医师认证证书。 熟悉内科各类常见病的诊疗。 擅长将功能医学+临床医学融合，进行精准的疾病诊疗和健康管理。 致力于从根源出发调理各类慢性病、自身免疫病、内分泌紊乱及衰老相关的症状等。,¥500,周一、周二、周四、周五、周六 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1563851892111799
门鹏翔,北京市,骨质疏松门诊,主治医师,,北京怡德医院,原空军特色医学中心骨科医生，兼任中国医师协会运动医学医师分会足踝学组青年委员会委员，北京医学会骨科学分会外固定与肢体重建学组委员。 骨科医疗领域的临床工作20余年，针对骨科基础疾病如：创伤骨折、关节运动损伤、脊柱疾病、骨质疏松等老年常见病、多发病有丰富的临床治疗及复健经验。在创伤骨科、足踝疾病、肢体矫形等领域探索颇深。注重与患者的沟通，善于用简洁易懂的语言解释病情，让患者深刻理解治疗目的及预期结果。,¥700,周一、周二、周三 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1728371638399657
孙明晓,北京市,骨质疏松门诊,主任医师,,北京怡德医院,原北京医院内分泌科副主任，营养科主任，兼任中国女医师协会医学体育专委会主任委员，中国营养学会肥胖防控分会副主任委员，中国老年医学学会内分泌代谢分会常务委员。 从事内分泌代谢临床工作30余年，具有丰富的临床经验，特别擅长针对肥胖、糖尿病、血脂异常、高尿酸血症/痛风、甲状腺疾病、老年骨质疏松和少肌症等内分泌代谢疾病进行营养、运动和药物的综合治疗。,¥1000,周一、周四 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1560236745350123
龚良伟,北京市,骨质疏松门诊,主治医师,,北京怡德医院,毕业于江西中医药大学骨伤专业，2012年曾于吉林大学白求恩第一医院骨创伤科进修，后一直在北京工作，被国家体育总局授予2020-2021赛季“科医服务先进个人”称号，作为中国冰雪医疗官入选2022年北京冬奥会中国体育代表团成员名单。 从事骨科临床工作15年余，擅长肩肘膝踝等运动损伤、脊柱四肢骨折脱位、骨关节炎、老年性骨质疏松、痛风、拇外翻等骨科疾病的中西医结合治疗、开放性骨科手术及PVP 、PRP等微创手术。,¥700,周二、周四、周六、周日 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1754043547525748
蒋蕾,北京市,骨质疏松门诊,主任医师,,北京怡德医院,原北京医院内分泌科主任医师，兼任中国老年医学会内分泌代谢学会委员，中国女医师协会医体专委会常委，北京精准医学学会常委。 擅长内分泌及慢性代谢性常见及疑难疾病、各型肥胖的临床诊治。针对骨质疏松的早期诊断与预防、原发骨质疏松及各类继发骨质疏松引起的各种不适均有丰富的临床治疗经验。,¥700,周一、周二、周三、周四、周五、周日 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1560235950668655
孙明晓,北京市,运动处方门诊,主任医师,,北京怡德医院,原北京医院内分泌科副主任，营养科主任，兼任中国女医师协会医学体育专委会主任委员，中国营养学会肥胖防控分会副主任委员，中国老年医学学会内分泌代谢分会常务委员。 从事内分泌代谢临床工作30余年，具有丰富的临床经验，特别擅长针对肥胖、糖尿病、血脂异常、高尿酸血症/痛风、甲状腺疾病、老年骨质疏松和少肌症等内分泌代谢疾病进行营养、运动和药物的综合治疗。,¥1000,周一、周四 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1560236745350123
孙明晓,北京市,高尿酸/痛风门诊,主任医师,,北京怡德医院,原北京医院内分泌科副主任，营养科主任，兼任中国女医师协会医学体育专委会主任委员，中国营养学会肥胖防控分会副主任委员，中国老年医学学会内分泌代谢分会常务委员。 从事内分泌代谢临床工作30余年，具有丰富的临床经验，特别擅长针对肥胖、糖尿病、血脂异常、高尿酸血症/痛风、甲状腺疾病、老年骨质疏松和少肌症等内分泌代谢疾病进行营养、运动和药物的综合治疗。,¥1000,周一、周四 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1560236745350123
蒋蕾,北京市,运动处方门诊,主任医师,,北京怡德医院,原北京医院内分泌科主任医师，兼任中国老年医学会内分泌代谢学会委员，中国女医师协会医体专委会常委，北京精准医学学会常委。 擅长内分泌及慢性代谢性常见及疑难疾病、各型肥胖的临床诊治。针对骨质疏松的早期诊断与预防、原发骨质疏松及各类继发骨质疏松引起的各种不适均有丰富的临床治疗经验。,¥700,周一、周二、周三、周四、周五、周日 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1560235950668655
蒋蕾,北京市,高尿酸/痛风门诊,主任医师,,北京怡德医院,原北京医院内分泌科主任医师，兼任中国老年医学会内分泌代谢学会委员，中国女医师协会医体专委会常委，北京精准医学学会常委。 擅长内分泌及慢性代谢性常见及疑难疾病、各型肥胖的临床诊治。针对骨质疏松的早期诊断与预防、原发骨质疏松及各类继发骨质疏松引起的各种不适均有丰富的临床治疗经验。,¥700,周一、周二、周三、周四、周五、周日 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1560235950668655
张海峰,北京市,保健科,心理治疗师,,北京怡德医院,心理治疗师，北京师范大学心理学博士，中科心桥（北京）心理医学研究院院长，国家卫健委“BNT神经修复技术”学科带头人，中国教育电视台特约心理专家，中国国际经济合作学会客座教授，中国心理卫生协会特殊职业群体专家委员会专家委员，北京心理卫生协会心理咨询与治疗专业委员会委员，北京市红十字会心理健康自愿服务队队长，教育部十二五课题【中小学生健康素养的分析与对策研究】副组长，【脑健康与心理健康】国家医学继续教育教材主编，翔宇医疗集团国家企业技术中心精神-心理康复首席科学家 从事脑科学及心理科学研究，擅长应用脑机结合治疗心理问题，儿童、青少年心理健康教育及咨询；家庭亲子教育；情绪性失眠调理；焦虑状态、抑郁状,¥1200,周六 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1769765669470967
